Num,Pub_date,Type_actor,Political_actor,Document,Condensed_function,actor,theme,quote,year,time_bin
1251,2023-04-29,Congress (House),Matt Rosendale (R-MT),Rosendale Legislation to Delist Grizzly Bears Passes Committee,Legislature,Legislature,Recovery_goals,Since grizzly bears were first listed under the Endangered Species Act they have exceeded the set recovery targets - now there are over 1100 grizzly bears in the Northern Continental Divide Ecosystem alone Rep. Rosendale said. Im grateful that my colleagues on the House Natural Resources Committee recognize that the federal government must allow Montana to manage our grizzly bear population.,2023,Recent
1259,2023-06-23,Senate,Cynthia Lummis (R-WY),LUMMIS OPPOSES BIDEN ADMIN EXPANDING THE ENDANGERED SPECIES ACT,Legislature,Legislature,Law_detailed,The Endangered Species Act needs reform but this announcement by the Biden administration is a step in the wrong direction. It is already difficult to remove a species from the endangered species list and this new policy will make it nearly impossible. In my home state of Wyoming the science is clear that the Greater Yellowstone Ecosystem Grizzly Bear has recovered and does not need to be listed as endangered any longer. The people who live and work near the species know better than the federal government and these regulations will actually hurt the species they are trying to protect. We should be working to recover wildlife not pat ourselves on the back for keeping them on a list forever said Lummis.,2023,Recent
1259,2023-06-23,Senate,Cynthia Lummis (R-WY),LUMMIS OPPOSES BIDEN ADMIN EXPANDING THE ENDANGERED SPECIES ACT,Legislature,Legislature,Recovery_goals,The Endangered Species Act needs reform but this announcement by the Biden administration is a step in the wrong direction. It is already difficult to remove a species from the endangered species list and this new policy will make it nearly impossible. In my home state of Wyoming the science is clear that the Greater Yellowstone Ecosystem Grizzly Bear has recovered and does not need to be listed as endangered any longer. The people who live and work near the species know better than the federal government and these regulations will actually hurt the species they are trying to protect. We should be working to recover wildlife not pat ourselves on the back for keeping them on a list forever said Lummis.,2023,Recent
1269,2001-09-24,Congress (House of Representatives),Helen Chenoweth Representative R-Idaho,Some find grizzly plan unbearable ; Canada planning to return; grizzlies to Cascade Range: [SPOKANE Edition],Legislature,Legislature,Human_wildlife_conflict,But folks who came to hearings in rural communities largely opposed the idea. One Montana group called itself Citizens Against Grizzlies. Then-Rep. Helen Chenoweth R-Idaho compared bear reintroduction to restoring sharks at the beach.,2001,Before
1273,2023-11-01,Congress,Dan Newhouse Congressman,The Center Square: Washington - Franklin News Foundation: U.S. Rep. Newhouse among those opposing feds grizzly bear proposal,Legislature,Legislature,Human_wildlife_conflict,As a farmer I worry not only about the bears destroying my crops but for the safety and well-being of myself my family and my on-farm hands said Newhouse a RePublican who represents central Washingtons sprawling 4thCongressional District that extends between the Oregon and Canadian borders.,2023,Recent
1294,2023-07-28,Senate,Jim Risch (R-Idaho),Risch Leads Bicameral Legislation to Fully Delist Grizzly Bears in Lower 48 States,Legislature,Legislature,Law_detailed,It is clear grizzly populations have rebounded said Risch. Increasing grizzly bear and human encounters make it even more important to act now. The Grrr Act will take much needed action to delist grizzly bears and focus resources on animals that are truly endangered or at risk.,2023,Recent
1294,2023-07-28,Senate,Jim Risch (R-Idaho),Risch Leads Bicameral Legislation to Fully Delist Grizzly Bears in Lower 48 States,Legislature,Legislature,Recovery_goals,It is clear grizzly populations have rebounded said Risch. Increasing grizzly bear and human encounters make it even more important to act now. The Grrr Act will take much needed action to delist grizzly bears and focus resources on animals that are truly endangered or at risk.,2023,Recent
1295,2023-07-28,Senate,Mike Crapo (R-Idaho),Risch Leads Bicameral Legislation to Fully Delist Grizzly Bears in Lower 48 States,Legislature,Legislature,Law_detailed,Idahos wildlife is best managed at the local level through collaborative efforts among federal state and tribal entities said Crapo. The grizzlys current ESA status rejects the reality of the recovered population within the grizzlys historic range and ignores current management practices backed by science and common sense.,2023,Recent
1295,2023-07-28,Senate,Mike Crapo (R-Idaho),Risch Leads Bicameral Legislation to Fully Delist Grizzly Bears in Lower 48 States,Legislature,Legislature,State_of_science,Idahos wildlife is best managed at the local level through collaborative efforts among federal state and tribal entities said Crapo. The grizzlys current ESA status rejects the reality of the recovered population within the grizzlys historic range and ignores current management practices backed by science and common sense.,2023,Recent
1296,2023-07-28,Congress (House),Russ Fulcher (R-Idaho),Risch Leads Bicameral Legislation to Fully Delist Grizzly Bears in Lower 48 States,Legislature,Legislature,Law_detailed,The Grizzly Bear Review and Resource Restart Act will begin a clean process in assessing the true management needs of the Grizzly Bear. I am proud to support the GRRR Act alongside my colleagues in the U.S. Senate said Fulcher.,2023,Recent
1297,2019-05-07,Congress (House),Raul M. Grijalva (D-Ariz.),Treaty unites Indian Country in stand against major threats from DAPL to grizzly delisting,Legislature,Legislature,Law_detailed,Chair Raul M. Grijalva (D-Ariz.) today introduced the Tribal Heritage and Grizzly Bear Protection Act which ensures that grizzly bears are permanently protected for their ecological and cultural value and guarantees Native American tribes a role in conserving and managing the species. Grizzly bears are considered sacred by many tribes but only a small fraction of historic grizzly populations now exist in the lower 48 states.The bill listed as H.R. 2532 is available online at http://bit.ly/2YdDeHy. Among other measures the bill:* Bans trophy hunting and non-discriminatory predator control measures that may result in taking of grizzly bears on Public lands* Permits take and possession of grizzly bears only for certain purposes going forward* Requires federal consultation with tribes before relevant permits are issued and before any major federal action that could impact grizzly bears or their habitat* Creates a process for reintroduction of grizzly bears on suitable land of willing tribes,2019,Recent
1316,2021-03-31,Congress (House),Matt Rosendale (R-MT),USFWS: Grizzlies should stay on ESA,Legislature,Legislature,State_of_science,I strongly disagree with the U.S. Fish and Wildlife Services decision to continue listing the grizzly bear as threatened under the Endangered Species Act. This decision fails to consider that in areas such as the Greater Yellowstone ecological system recovery criteria has been met. I will continue to work with stakeholders and USFWS to develop a science-based species management plan that considers the risk grizzly bears pose to many Montanans livelihoods Rosendale said.,2021,Recent
1316,2021-03-31,Congress (House),Matt Rosendale (R-MT),USFWS: Grizzlies should stay on ESA,Legislature,Legislature,Recovery_goals,I strongly disagree with the U.S. Fish and Wildlife Services decision to continue listing the grizzly bear as threatened under the Endangered Species Act. This decision fails to consider that in areas such as the Greater Yellowstone ecological system recovery criteria has been met. I will continue to work with stakeholders and USFWS to develop a science-based species management plan that considers the risk grizzly bears pose to many Montanans livelihoods Rosendale said.,2021,Recent
1316,2021-03-31,Congress (House),Matt Rosendale (R-MT),USFWS: Grizzlies should stay on ESA,Legislature,Legislature,Human_wildlife_conflict,I strongly disagree with the U.S. Fish and Wildlife Services decision to continue listing the grizzly bear as threatened under the Endangered Species Act. This decision fails to consider that in areas such as the Greater Yellowstone ecological system recovery criteria has been met. I will continue to work with stakeholders and USFWS to develop a science-based species management plan that considers the risk grizzly bears pose to many Montanans livelihoods Rosendale said.,2021,Recent
1317,2021-03-31,Senate,Steve Daines (R-MT),USFWS: Grizzlies should stay on ESA,Legislature,Legislature,State_of_science,The Fish and Wildlife Service confirmed once again what Montanans know all too well—the grizzly bear is continuing to recover nationwide and has fully recovered in Montanas two largest ecosystems. Merely recognizing the biologic recovery of the grizzly bear is not enough. The Biden Administration should follow through on their commitment to follow the science and act upon their career scientists own findings by moving forward immediately to delist the grizzly bear in Montana and return species management back to the state Daines stated.,2021,Recent
1317,2021-03-31,Senate,Steve Daines (R-MT),USFWS: Grizzlies should stay on ESA,Legislature,Legislature,Recovery_goals,The Fish and Wildlife Service confirmed once again what Montanans know all too well—the grizzly bear is continuing to recover nationwide and has fully recovered in Montanas two largest ecosystems. Merely recognizing the biologic recovery of the grizzly bear is not enough. The Biden Administration should follow through on their commitment to follow the science and act upon their career scientists own findings by moving forward immediately to delist the grizzly bear in Montana and return species management back to the state Daines stated.,2021,Recent
1329,2011-09-15,Senate,Mike Crapo Idaho Senator,IDAHO LAWMAKERS SEEK GRIZZLY AMENDMENT; Endangered Species Act permits self-defense,Legislature,Legislature,Law_detailed,The proposed bill would add a clause onto the exceptions section of the Endangered Species Act 16 USC 1539 stating Notwithstanding any other provision of law ... the provisions of this Act shall not apply with respect to the taking of any grizzly bear by an individual who demonstrates to the Secretary by a preponderance of the evidence that the individual carried out the taking as a result of: 1 - self defense; 2 - defense of another individual; or 3 - a reasonable belief of imminent danger posed by the grizzly bear to any individual.,2011,After I
1329,2011-09-15,Senate,Mike Crapo Idaho Senator,IDAHO LAWMAKERS SEEK GRIZZLY AMENDMENT; Endangered Species Act permits self-defense,Legislature,Legislature,State_of_science,The law already contains a self-defense provisionin the very next section after the one the new bill would amend. A spokesman for Idaho Sen. Mike Crapo said the bill would bolster that provision but a national conservation group called it political grandstanding.Idaho Sens. Crapo and Jim Risch and Rep. Raul Labrador all RePublicans said in a joint statement Wednesday that their new legislation would be a drastic improvement over the current ESA regulations.,2011,After I
1345,1997-11-02,Senate,Conrad Burns Senator (R-Mont.),Idaho Opposition May Declaw Plan to Bring Back Grizzly Bears; Wildlife: Activists timber industry and U.S. back reintroduction of predator into state wilderness area. But ranching and tourism interests fear its return.: [Bulldog Edition,Legislature,Legislature,State_of_science,And on Capitol Hill Sen. Conrad Burns (R-Mont.) won Senate approval of an appropriations rider that would have blocked completion of the environmental study necessary for bear reintroduction before backing down in conference with the House. He likes the concept of citizen management but Burns frets about federal veto authority and says he will work to kill it until the people of the Bitterroot Valley feel comfortable about those bears being reintroduced.,1997,Before
1346,2023-01-23,Senate,Mike Lang (R-MT),MT Legislature set to take up fish wildlife issues,Legislature,Legislature,Law_detailed,Sen. Mike Lang R-Malta also brought Senate Bill 85 recently stating that should grizzly bears be delisted from the Endangered Species Act they be managed at population levels necessary to keep them from returning to the list. That bill also saw opposition as some wildlife advocates testified the bill did not emphasize the use of nonlethal measures nor ensure work on connectivity between populations; Lang has said those provisions are part of FWP’s management plan. The bill was amended to include mention of nonlethal and preventative measures before passing committee.,2023,Recent
1346,2023-01-23,Senate,Mike Lang (R-MT),MT Legislature set to take up fish wildlife issues,Legislature,Legislature,Recovery_goals,Sen. Mike Lang R-Malta also brought Senate Bill 85 recently stating that should grizzly bears be delisted from the Endangered Species Act they be managed at population levels necessary to keep them from returning to the list. That bill also saw opposition as some wildlife advocates testified the bill did not emphasize the use of nonlethal measures nor ensure work on connectivity between populations; Lang has said those provisions are part of FWP’s management plan. The bill was amended to include mention of nonlethal and preventative measures before passing committee.,2023,Recent
1351,2019-07-30,Senate,Senator John Barrasso (WY),Congressional Western Caucus: Activist Judge Frivolous Litigation Lead to Yellowstone Grizzly Listing,Legislature,Legislature,State_of_science,The grizzly is fully recovered in Wyoming. End of story. The Fish and Wildlife Service first moved to delist the bear almost 15 years ago. The last three administrations made the determination that the grizzly bear was recovered. Wyoming has a proven track record of strong science-based management of the grizzly bear. Protections under the Endangered Species Act are unnecessary and not supported by the facts. Now the administration needs to focus on successfully delisting the grizzly bear in Wyoming and allow the state experts to resume successful management.,2019,Recent
1351,2019-07-30,Senate,Senator John Barrasso (WY),Congressional Western Caucus: Activist Judge Frivolous Litigation Lead to Yellowstone Grizzly Listing,Legislature,Legislature,Recovery_goals,The grizzly is fully recovered in Wyoming. End of story. The Fish and Wildlife Service first moved to delist the bear almost 15 years ago. The last three administrations made the determination that the grizzly bear was recovered. Wyoming has a proven track record of strong science-based management of the grizzly bear. Protections under the Endangered Species Act are unnecessary and not supported by the facts. Now the administration needs to focus on successfully delisting the grizzly bear in Wyoming and allow the state experts to resume successful management.,2019,Recent
1352,2019-07-30,Senate,Senator Mike Enzi (WY),Congressional Western Caucus: Activist Judge Frivolous Litigation Lead to Yellowstone Grizzly Listing,Legislature,Legislature,State_of_science,It is extremely disappointing that grizzly bears in the Yellowstone region will be added back to the endangered species list due to a frivolous lawsuit and a flawed court decision. Biologists agree that the Yellowstone population of grizzly bears has recovered and might have even reached the capacity in many areas of the ecosystem. This information isnt new - Ive been working on this issue for more than 20 years and we knew back then that grizzly bears had recovered. I am committed to working with the Administration to delist these bears and give Wyoming proper authority to manage its wildlife.,2019,Recent
1352,2019-07-30,Senate,Senator Mike Enzi (WY),Congressional Western Caucus: Activist Judge Frivolous Litigation Lead to Yellowstone Grizzly Listing,Legislature,Legislature,Recovery_goals,It is extremely disappointing that grizzly bears in the Yellowstone region will be added back to the endangered species list due to a frivolous lawsuit and a flawed court decision. Biologists agree that the Yellowstone population of grizzly bears has recovered and might have even reached the capacity in many areas of the ecosystem. This information isnt new - Ive been working on this issue for more than 20 years and we knew back then that grizzly bears had recovered. I am committed to working with the Administration to delist these bears and give Wyoming proper authority to manage its wildlife.,2019,Recent
1353,2019-07-30,Senate,Senator Jim Risch (ID),Congressional Western Caucus: Activist Judge Frivolous Litigation Lead to Yellowstone Grizzly Listing,Legislature,Legislature,State_of_science,We have worked for over a decade to expand delisting of grizzly bears a species that has successfully met its recovery goals. Todays listing announcement is yet another example of the Endangered Species Act being used for lengthy and circular legal battles instead of to recover wildlife. Idahos local wildlife managers have a history of successful species management based on collaboration and science yet they are once again being strong-armed by litigation based on neither. This is detrimental to the very species the ESA was enacted to protect.,2019,Recent
1353,2019-07-30,Senate,Senator Jim Risch (ID),Congressional Western Caucus: Activist Judge Frivolous Litigation Lead to Yellowstone Grizzly Listing,Legislature,Legislature,Recovery_goals,We have worked for over a decade to expand delisting of grizzly bears a species that has successfully met its recovery goals. Todays listing announcement is yet another example of the Endangered Species Act being used for lengthy and circular legal battles instead of to recover wildlife. Idahos local wildlife managers have a history of successful species management based on collaboration and science yet they are once again being strong-armed by litigation based on neither. This is detrimental to the very species the ESA was enacted to protect.,2019,Recent
1354,2019-07-30,Senate,Senator Mike Crapo (ID),Congressional Western Caucus: Activist Judge Frivolous Litigation Lead to Yellowstone Grizzly Listing,Legislature,Legislature,State_of_science,States should have the authority to create wildlife plans that fit their specific needs and the case regarding the Greater Yellowstone Ecosystem Grizzly Bear is no different. I remain committed to bear management policy that benefits both the species and humans by balancing the interests of the bears livestock owners sportsmen and our big game herds in Idaho all according to the best most recent science. Idahos wildlife officials are uniquely qualified to carry out wildlife management initiatives in the Gem State and I am confident they can serve as a model for others regarding wildlife.,2019,Recent
1354,2019-07-30,Senate,Senator Mike Crapo (ID),Congressional Western Caucus: Activist Judge Frivolous Litigation Lead to Yellowstone Grizzly Listing,Legislature,Legislature,Human_wildlife_conflict,States should have the authority to create wildlife plans that fit their specific needs and the case regarding the Greater Yellowstone Ecosystem Grizzly Bear is no different. I remain committed to bear management policy that benefits both the species and humans by balancing the interests of the bears livestock owners sportsmen and our big game herds in Idaho all according to the best most recent science. Idahos wildlife officials are uniquely qualified to carry out wildlife management initiatives in the Gem State and I am confident they can serve as a model for others regarding wildlife.,2019,Recent
1355,2019-07-30,Federal Agency,Committee on Natural Resources Ranking RePublican Rob Bishop (UT-01),Congressional Western Caucus: Activist Judge Frivolous Litigation Lead to Yellowstone Grizzly Listing,Legislature,Legislature,State_of_science,By every measure the Greater Yellowstone Area grizzly bear recovery has succeeded. The delisting was without a doubt proof that investment in coordinated conservation measures between the federal state and local levels actually works. Unfortunately Democrats and environmental extremists couldnt care less about the best scientific and commercial data. The Democrats instead have fought for the recent decision to re-list the species. When litigation supersedes science we have no better evidence that the Endangered Species Act is flawed. This decision is disappointing. It punishes states for exceeding species recovery goals disincentives further wildlife management and ultimately harms the recovery of hundreds more species.,2019,Recent
1355,2019-07-30,Federal Agency,Committee on Natural Resources Ranking RePublican Rob Bishop (UT-01),Congressional Western Caucus: Activist Judge Frivolous Litigation Lead to Yellowstone Grizzly Listing,Legislature,Legislature,Recovery_goals,By every measure the Greater Yellowstone Area grizzly bear recovery has succeeded. The delisting was without a doubt proof that investment in coordinated conservation measures between the federal state and local levels actually works. Unfortunately Democrats and environmental extremists couldnt care less about the best scientific and commercial data. The Democrats instead have fought for the recent decision to re-list the species. When litigation supersedes science we have no better evidence that the Endangered Species Act is flawed. This decision is disappointing. It punishes states for exceeding species recovery goals disincentives further wildlife management and ultimately harms the recovery of hundreds more species.,2019,Recent
1356,2019-07-30,Congress (House),House RePublican Conference Chairwoman Liz Cheney (WY-At Large),Congressional Western Caucus: Activist Judge Frivolous Litigation Lead to Yellowstone Grizzly Listing,Legislature,Legislature,State_of_science,The court-ordered relisting of the grizzly was not based on science or facts but was rather the result of excessive litigation pursued by radical environmentalists intent on destroying our Western way of life. The thriving grizzly population within the Greater Yellowstone Ecosystem should be celebrated as a conservation success with Wyoming investing significant resources in grizzly bear recovery and management since 2003. The ruling that forced todays action was both needless and harmful to the ecosystem which is why I introduced legislation earlier this year to reinstate the science-based decision by the U.S. Fish and Wildlife Service to delist the grizzly and prevent future court action on the delisting returning management of the grizzly back to the state where it belongs. I will continue working with my colleagues in Congress and the experts in Wyoming to ensure proper management of the wildlife in our state and prevent further federal overreach into our daily lives.,2019,Recent
1356,2019-07-30,Congress (House),House RePublican Conference Chairwoman Liz Cheney (WY-At Large),Congressional Western Caucus: Activist Judge Frivolous Litigation Lead to Yellowstone Grizzly Listing,Legislature,Legislature,Recovery_goals,The court-ordered relisting of the grizzly was not based on science or facts but was rather the result of excessive litigation pursued by radical environmentalists intent on destroying our Western way of life. The thriving grizzly population within the Greater Yellowstone Ecosystem should be celebrated as a conservation success with Wyoming investing significant resources in grizzly bear recovery and management since 2003. The ruling that forced todays action was both needless and harmful to the ecosystem which is why I introduced legislation earlier this year to reinstate the science-based decision by the U.S. Fish and Wildlife Service to delist the grizzly and prevent future court action on the delisting returning management of the grizzly back to the state where it belongs. I will continue working with my colleagues in Congress and the experts in Wyoming to ensure proper management of the wildlife in our state and prevent further federal overreach into our daily lives.,2019,Recent
1357,2019-07-30,Congress (House),Chief Regulatory Reform Officer Andy Biggs (AZ-05):,Congressional Western Caucus: Activist Judge Frivolous Litigation Lead to Yellowstone Grizzly Listing,Legislature,Legislature,State_of_science,I was very disappointed to see the U.S. Fish and Wildlife Services decision to return grizzly bears in the Greater Yellowstone Ecosystem to the Endangered Species List. Unfortunately this action was not based on sound science--the bear population has grown over fourfold since the 1970s--but instead on the arbitrary decision of an activist judge. As a result federal wildlife managers will now have fewer resources to spend on conservation efforts to protect species that are actually endangered. Meanwhile a growing grizzly population will not only threaten property but human lives as well. I look forward to working with Western Caucus Chairman Gosar to rationalize and modernize the Endangered Species Act in the coming months so that travesties like this are much less likely to recur in the future.,2019,Recent
1357,2019-07-30,Congress (House),Chief Regulatory Reform Officer Andy Biggs (AZ-05):,Congressional Western Caucus: Activist Judge Frivolous Litigation Lead to Yellowstone Grizzly Listing,Legislature,Legislature,Human_wildlife_conflict,I was very disappointed to see the U.S. Fish and Wildlife Services decision to return grizzly bears in the Greater Yellowstone Ecosystem to the Endangered Species List. Unfortunately this action was not based on sound science--the bear population has grown over fourfold since the 1970s--but instead on the arbitrary decision of an activist judge. As a result federal wildlife managers will now have fewer resources to spend on conservation efforts to protect species that are actually endangered. Meanwhile a growing grizzly population will not only threaten property but human lives as well. I look forward to working with Western Caucus Chairman Gosar to rationalize and modernize the Endangered Species Act in the coming months so that travesties like this are much less likely to recur in the future.,2019,Recent
1379,2004-08-05,Senate,Bob Morton Senator Washington,A Real Bear of a Battlefield,Legislature,Legislature,Human_wildlife_conflict,To rural landowners Morton said at the time recovery of grizzly bears means invasion of orchards and livestock and more importantly personal safety concerns.,2004,Before
1380,2021-03-15,Senate,Steve Daines (R-MT),Daines Votes No on Haaland Confirmation,Legislature,Legislature,State_of_science,Representative Haaland has a hostile record toward made in America energy natural resource development and wildlife and land management. She has enthusiastically called for a ban on all new pipelines and is a leading cosponsor of the Green New Deal. I have serious concerns about how Rep. Haaland will use this position in ways that negatively impact the Montana way of life Daines said. In Montana we have a rich history of balanced wildlife and land management that allows us to enjoy recreation and promote energy development while still prioritizing conservation. Rep. Haaland has pledged to learn from states like Montana that are able to balance these priorities and I will hold her to this commitment and look for opportunities where we can pragmatically work together on behalf of Montana.,2021,Recent
1387,2021-03-27,Senate,Mike Crapo (R-ID),Sens. Crapo Risch Introduce Bill to Delist Grizzly Bears,Legislature,Legislature,Law_detailed,Idahos local wildlife managers have a history of successful species management practices based on sound science and collaborative efforts among federal state and tribal entities. One such success is evidenced by the significant increase of the grizzly bear population in the Greater Yellowstone Ecosystem--more than five times its population since the initial listing under the Endangered Species Act said Crapo. The Grizzly Bear State Management Act will restore Idahos ability to responsibly manage grizzly bears for recovery while simultaneously addressing the needs of the landscape and local communities in the region.,2021,Recent
1387,2021-03-27,Senate,Mike Crapo (R-ID),Sens. Crapo Risch Introduce Bill to Delist Grizzly Bears,Legislature,Legislature,Recovery_goals,Idahos local wildlife managers have a history of successful species management practices based on sound science and collaborative efforts among federal state and tribal entities. One such success is evidenced by the significant increase of the grizzly bear population in the Greater Yellowstone Ecosystem--more than five times its population since the initial listing under the Endangered Species Act said Crapo. The Grizzly Bear State Management Act will restore Idahos ability to responsibly manage grizzly bears for recovery while simultaneously addressing the needs of the landscape and local communities in the region.,2021,Recent
1388,2021-03-27,Senate,Jim Risch (R-ID),Sens. Crapo Risch Introduce Bill to Delist Grizzly Bears,Legislature,Legislature,Law_detailed,Grizzly bears met their recovery goals in the Greater Yellowstone Ecosystem more than a decade ago thanks to the hard work of states like Idaho. Yet instead of being appropriately delisted the species has been subject to circular legal battles at the whim of activist judges that accomplish nothing and waste taxpayers money said Risch. This legislation recognizes its time to follow the science and common sense and delist the grizzly bear.,2021,Recent
1388,2021-03-27,Senate,Jim Risch (R-ID),Sens. Crapo Risch Introduce Bill to Delist Grizzly Bears,Legislature,Legislature,State_of_science,Grizzly bears met their recovery goals in the Greater Yellowstone Ecosystem more than a decade ago thanks to the hard work of states like Idaho. Yet instead of being appropriately delisted the species has been subject to circular legal battles at the whim of activist judges that accomplish nothing and waste taxpayers money said Risch. This legislation recognizes its time to follow the science and common sense and delist the grizzly bear.,2021,Recent
1388,2021-03-27,Senate,Jim Risch (R-ID),Sens. Crapo Risch Introduce Bill to Delist Grizzly Bears,Legislature,Legislature,Recovery_goals,Grizzly bears met their recovery goals in the Greater Yellowstone Ecosystem more than a decade ago thanks to the hard work of states like Idaho. Yet instead of being appropriately delisted the species has been subject to circular legal battles at the whim of activist judges that accomplish nothing and waste taxpayers money said Risch. This legislation recognizes its time to follow the science and common sense and delist the grizzly bear.,2021,Recent
1390,2019-10-07,House of Representatives,Greg Gianforte Representative R-Mont.,Bernhardt gets earful about grizzly population,Legislature,Legislature,Recovery_goals,Clearly the grizzly bear was endangered the population was reduced Gianforte said. They came under the Endangered Species Act and they have recovered. We should be celebrating that work and taking a victory lap — and then transferring management back to the state.,2019,Recent
1390,2019-10-07,House of Representatives,Greg Gianforte Representative R-Mont.,Bernhardt gets earful about grizzly population,Legislature,Legislature,Human_wildlife_conflict,We need to act Gianforte told Bernhardt at Saturdays meeting. I would just ask that you do everything within your power to help us live more productive lives without the threat of these bears in our yards chasing out children.,2019,Recent
1398,2007-03-23,Senate,Mike Enzi (R-WY),Feds drop grizzlies off list of protected animals ; Bears in around Yellowstone | Species remains protected elsewhere: [Fourth Edition],Legislature,Legislature,Law_detailed,At long last said Sen. Mike Enzi R-Wyo. Decades passed. The bears increased in number. The federal government stood immobile. Today that is finally changing. Grizzly management will shift to the state where it should be.,2007,During I
1398,2007-03-23,Senate,Mike Enzi (R-WY),Feds drop grizzlies off list of protected animals ; Bears in around Yellowstone | Species remains protected elsewhere: [Fourth Edition],Legislature,Legislature,Recovery_goals,At long last said Sen. Mike Enzi R-Wyo. Decades passed. The bears increased in number. The federal government stood immobile. Today that is finally changing. Grizzly management will shift to the state where it should be.,2007,During I
1399,2021-03-27,Senate,Jim Risch (ID),Sens. Risch Crapo Introduce Bill to Delist Grizzly Bears,Legislature,Legislature,Law_detailed,Grizzly bears met their recovery goals in the Greater Yellowstone Ecosystem more than a decade ago thanks to the hard work of states like Idaho. Yet instead of being appropriately delisted the species has been subject to circular legal battles at the whim of activist judges that accomplish nothing and waste taxpayers money said Risch. This legislation recognizes its time to follow the science and common sense and delist the grizzly bear.,2021,Recent
1399,2021-03-27,Senate,Jim Risch (ID),Sens. Risch Crapo Introduce Bill to Delist Grizzly Bears,Legislature,Legislature,State_of_science,Grizzly bears met their recovery goals in the Greater Yellowstone Ecosystem more than a decade ago thanks to the hard work of states like Idaho. Yet instead of being appropriately delisted the species has been subject to circular legal battles at the whim of activist judges that accomplish nothing and waste taxpayers money said Risch. This legislation recognizes its time to follow the science and common sense and delist the grizzly bear.,2021,Recent
1399,2021-03-27,Senate,Jim Risch (ID),Sens. Risch Crapo Introduce Bill to Delist Grizzly Bears,Legislature,Legislature,Recovery_goals,Grizzly bears met their recovery goals in the Greater Yellowstone Ecosystem more than a decade ago thanks to the hard work of states like Idaho. Yet instead of being appropriately delisted the species has been subject to circular legal battles at the whim of activist judges that accomplish nothing and waste taxpayers money said Risch. This legislation recognizes its time to follow the science and common sense and delist the grizzly bear.,2021,Recent
1400,2021-03-27,Senate,Mike Crapo (R-ID),Sens. Risch Crapo Introduce Bill to Delist Grizzly Bears,Legislature,Legislature,Recovery_goals,Idahos local wildlife managers have a history of successful species management practices based on sound science and collaborative efforts among federal state and tribal entities. One such success is evidenced by the significant increase of the grizzly bear population in the Greater Yellowstone Ecosystem - more than five times its population since the initial listing under the Endangered Species Act said Crapo. The Grizzly Bear State Management Act will restore Idahos ability to responsibly manage grizzly bears for recovery while simultaneously addressing the needs of the landscape and local communities in the region.,2021,Recent
1405,2022-01-09,Senate,Steve Daines (R-MT),Grizzlies in the Lower 48 walk a political tightrope,Legislature,Legislature,Recovery_goals,The grizzly bear has more than recovered and now we have seen that grizzly bear conflicts are on the rise harming Montana families and ranchers. Secretary Haaland and the Biden Administration must follow the science delist the grizzly bear and return management back to the state for the sake of our communities ranchers wildlife and the bear itself Daines said in a statement. I have proposed legislation to delist the grizzly bear in the Greater Yellowstone Ecosystem and am pushing for a hearing on this needed bill. This shouldnt be political. I urge Sen. (Jon) Tester to cosponsor my bill and join me in the effort to delist the bear.,2022,Recent
1405,2022-01-09,Senate,Steve Daines (R-MT),Grizzlies in the Lower 48 walk a political tightrope,Legislature,Legislature,Human_wildlife_conflict,The grizzly bear has more than recovered and now we have seen that grizzly bear conflicts are on the rise harming Montana families and ranchers. Secretary Haaland and the Biden Administration must follow the science delist the grizzly bear and return management back to the state for the sake of our communities ranchers wildlife and the bear itself Daines said in a statement. I have proposed legislation to delist the grizzly bear in the Greater Yellowstone Ecosystem and am pushing for a hearing on this needed bill. This shouldnt be political. I urge Sen. (Jon) Tester to cosponsor my bill and join me in the effort to delist the bear.,2022,Recent
1406,2022-01-09,Ciongress (House),Matt Rosendale (R-MT),Grizzlies in the Lower 48 walk a political tightrope,Legislature,Legislature,Human_wildlife_conflict,This puts the lives of Montanans and the livelihoods of Montana ranchers in jeopardy he said in a statement. Its high time we follow the science and pass my bill to delist the grizzly bear populations in the Northern Continental Divide and Greater Yellowstone Ecosystems and return management back to the states.,2022,Recent
1408,2022-01-09,Senate,Bruce Gillespie (R-MT),Grizzlies in the Lower 48 walk a political tightrope,Legislature,Legislature,Law_detailed,In addition to Gillespies legislation RePublicans also passed a bill that reforms the states involvement in relocating conflict bears. FWP has historically worked with federal counterparts to respond and trap bears that get into conflicts. Federal authorities then make a call on whether the bear will be relocated or euthanized. Senate Bill 337 limits the states involvement should a conflict bear be captured outside of a grizzly bear recovery zone now leaving it up to federal officials to do the actual release. The bill also directs the states wildlife commission to approve relocation areas for bears trapped within recovery zones and released by FWP. I take a lot of phone calls from a lot of people on the Rocky Mountain Front and even those out on the plains are concerned with how many bears there are he said. The bill wasnt to get rid of all the bears but to at least defend ourselves and our property when bears come around and are aggressive.,2022,Recent
1408,2022-01-09,Senate,Bruce Gillespie (R-MT),Grizzlies in the Lower 48 walk a political tightrope,Legislature,Legislature,Human_wildlife_conflict,I take a lot of phone calls from a lot of people on the Rocky Mountain Front and even those out on the plains are concerned with how many bears there are he said. The bill wasnt to get rid of all the bears but to at least defend ourselves and our property when bears come around and are aggressive.,2022,Recent
